,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
DOK3,2.32E-255,0.3862752,0.649,0.202,5.18E-251,4,DOK3
HIST1H2AC,3.44E-254,0.6082652,0.758,0.277,7.71E-250,4,HIST1H2AC
XYLT2,5.06E-254,0.4955472,0.613,0.176,1.13E-249,4,XYLT2
RASGRP2,1.08E-250,0.8263287,0.888,0.478,2.42E-246,4,RASGRP2
LCP2,3.16E-250,0.4714884,0.765,0.294,7.07E-246,4,LCP2
FAXDC2,9.55E-250,0.445536,0.705,0.239,2.14E-245,4,FAXDC2
STIM1,2.51E-249,0.4280896,0.697,0.255,5.62E-245,4,STIM1
PCSK6,6.64E-249,0.3411148,0.524,0.124,1.49E-244,4,PCSK6
DENND2C,6.45E-248,0.2683834,0.387,0.061,1.44E-243,4,DENND2C
PIK3CB1,1.75E-246,0.4467229,0.732,0.271,3.92E-242,4,PIK3CB
ICAM21,3.67E-246,0.646326,0.911,0.446,8.21E-242,4,ICAM2
JARID2,6.76E-245,0.5818559,0.884,0.495,1.51E-240,4,JARID2
2-Mar,3.02E-243,0.5097753,0.805,0.379,6.75E-239,4,2-Mar
FHOD1,3.49E-243,0.4729701,0.751,0.315,7.81E-239,4,FHOD1
ILK1,2.54E-242,0.7745835,0.933,0.624,5.69E-238,4,ILK
PLEKHF2,4.11E-242,0.4278334,0.65,0.213,9.19E-238,4,PLEKHF2
F2R2,1.82E-241,0.7518265,0.923,0.528,4.06E-237,4,F2R
GRM3,2.59E-241,0.2717015,0.392,0.064,5.80E-237,4,GRM3
FRMD4B1,1.12E-239,0.7155993,0.75,0.311,2.50E-235,4,FRMD4B
NLK,1.90E-239,0.494239,0.757,0.315,4.24E-235,4,NLK
ATP8A1,4.57E-239,0.3203809,0.446,0.089,1.02E-234,4,ATP8A1
GNAQ,1.21E-238,0.6124367,0.916,0.583,2.70E-234,4,GNAQ
CORO1C1,4.40E-238,0.6240089,0.956,0.638,9.85E-234,4,CORO1C
ELOVL7,8.43E-238,0.2791882,0.405,0.072,1.89E-233,4,ELOVL7
PTPN12,4.51E-237,0.5701316,0.877,0.502,1.01E-232,4,PTPN12
C1orf116,3.99E-236,0.2929682,0.358,0.054,8.93E-232,4,C1orf116
NAA381,4.26E-236,0.7184822,0.989,0.825,9.52E-232,4,NAA38
CTDSPL,6.42E-236,0.5143711,0.76,0.328,1.44E-231,4,CTDSPL
BTK1,1.77E-235,0.585771,0.855,0.427,3.95E-231,4,BTK
CAMK11,7.93E-235,0.5619701,0.723,0.27,1.78E-230,4,CAMK1
MINDY1,1.76E-234,0.2778579,0.396,0.07,3.94E-230,4,MINDY1
MALAT1,2.78E-234,0.8306623,1,0.999,6.22E-230,4,MALAT1
FTH12,3.88E-234,0.6733689,0.999,0.99,8.68E-230,4,FTH1
STXBP21,4.78E-234,0.5897939,0.918,0.541,1.07E-229,4,STXBP2
PECAM11,1.92E-233,0.5715517,0.927,0.5,4.29E-229,4,PECAM1
INAFM2,2.28E-233,0.4394619,0.627,0.209,5.11E-229,4,INAFM2
SH3BP5,2.59E-233,0.9449994,0.76,0.318,5.80E-229,4,SH3BP5
TMBIM11,1.15E-232,0.5422091,0.892,0.491,2.58E-228,4,TMBIM1
PDIA5,1.74E-231,0.4030522,0.652,0.221,3.89E-227,4,PDIA5
TNIK,3.59E-230,0.4812271,0.83,0.414,8.04E-226,4,TNIK
AFAP1,1.24E-229,0.362938,0.515,0.127,2.78E-225,4,AFAP1
ENDOD1,4.25E-228,0.4401483,0.606,0.189,9.51E-224,4,ENDOD1
KCNE3,4.78E-228,0.3889132,0.644,0.218,1.07E-223,4,KCNE3
C12orf76,2.69E-227,0.7330386,0.77,0.378,6.03E-223,4,C12orf76
STOM1,1.13E-226,0.6170291,0.806,0.391,2.54E-222,4,STOM
AL034397.3,7.21E-226,0.4935025,0.75,0.29,1.61E-221,4,AL034397.3
INKA11,1.31E-225,0.5463316,0.945,0.567,2.93E-221,4,INKA1
TPM4,6.42E-225,0.8806043,0.971,0.782,1.44E-220,4,TPM4
KLHDC8B1,7.97E-225,0.6152457,0.893,0.483,1.78E-220,4,KLHDC8B
CTSA,1.37E-224,0.6811214,0.84,0.46,3.06E-220,4,CTSA
RAP2B1,7.27E-222,0.5540727,0.835,0.423,1.63E-217,4,RAP2B
ADD3,5.29E-219,0.589682,0.899,0.514,1.18E-214,4,ADD3
TIMP32,2.16E-218,0.95107,0.943,0.628,4.84E-214,4,TIMP3
CLCN4,8.86E-217,0.3192385,0.53,0.144,1.98E-212,4,CLCN4
MTSS11,1.11E-216,0.4880951,0.864,0.435,2.48E-212,4,MTSS1
XPNPEP1,1.78E-216,0.5972761,0.811,0.42,3.99E-212,4,XPNPEP1
TMSB4Y1,7.23E-216,0.7332866,0.809,0.403,1.62E-211,4,TMSB4Y
ABHD4,3.61E-215,0.3831994,0.629,0.209,8.07E-211,4,ABHD4
PLXDC2,4.60E-215,0.3138083,0.488,0.12,1.03E-210,4,PLXDC2
GSN,1.65E-214,0.6533661,0.858,0.449,3.70E-210,4,GSN
GADD45A,3.04E-214,0.5996479,0.901,0.53,6.81E-210,4,GADD45A
VASP,9.27E-214,0.5892574,0.942,0.629,2.07E-209,4,VASP
GMPR1,1.66E-212,0.5975177,0.944,0.541,3.72E-208,4,GMPR
CMTM6,5.06E-212,0.5675279,0.899,0.565,1.13E-207,4,CMTM6
CCDC85B1,1.09E-211,0.67224,0.989,0.817,2.43E-207,4,CCDC85B
MOB1B,1.66E-210,0.4648005,0.752,0.35,3.70E-206,4,MOB1B
STON2,2.33E-210,0.4860623,0.606,0.21,5.22E-206,4,STON2
SH3BGRL2,2.40E-210,0.3940002,0.617,0.21,5.38E-206,4,SH3BGRL2
ABLIM11,2.70E-210,0.37924,0.557,0.157,6.05E-206,4,ABLIM1
FAM214B,4.89E-210,0.3491105,0.626,0.22,1.10E-205,4,FAM214B
LAPTM51,1.75E-209,0.6469263,0.884,0.488,3.92E-205,4,LAPTM5
OST4,7.69E-209,0.5305034,0.994,0.939,1.72E-204,4,OST4
DNAAF31,1.75E-207,0.4052495,0.538,0.15,3.91E-203,4,DNAAF3
ZYX,5.93E-207,0.7621974,0.869,0.542,1.33E-202,4,ZYX
RASA3,2.23E-206,0.3419066,0.584,0.193,4.99E-202,4,RASA3
NAP1L1,3.15E-206,0.5072302,0.999,0.945,7.05E-202,4,NAP1L1
ZNF431,1.67E-205,0.6259871,0.838,0.47,3.73E-201,4,ZNF431
FLI11,2.97E-205,0.4873825,0.887,0.496,6.64E-201,4,FLI1
ANKRD33B,8.01E-205,0.3745279,0.614,0.217,1.79E-200,4,ANKRD33B
SYK,1.31E-202,0.4108534,0.691,0.266,2.92E-198,4,SYK
HERC2,7.24E-202,0.5225709,0.866,0.524,1.62E-197,4,HERC2
ALOX12,8.29E-201,0.2875729,0.405,0.086,1.86E-196,4,ALOX12
LRRC8B,9.00E-201,0.4258639,0.673,0.274,2.01E-196,4,LRRC8B
CAP1,1.86E-200,0.586295,0.976,0.758,4.16E-196,4,CAP1
ARHGEF3,9.68E-200,0.3808438,0.581,0.196,2.17E-195,4,ARHGEF3
GPSM3,1.27E-199,0.5375738,0.896,0.558,2.83E-195,4,GPSM3
RILP1,9.59E-199,0.4605384,0.859,0.482,2.15E-194,4,RILP
MYCT11,9.70E-199,0.4295861,0.717,0.272,2.17E-194,4,MYCT1
MAP1A,1.19E-198,0.4282426,0.69,0.285,2.66E-194,4,MAP1A
TBXA2R,1.38E-198,0.3118935,0.555,0.172,3.09E-194,4,TBXA2R
ASAH1,1.65E-198,0.5927076,0.945,0.691,3.70E-194,4,ASAH1
MAST41,1.94E-198,0.4231991,0.713,0.284,4.35E-194,4,MAST4
RHAG2,2.22E-198,0.5178392,0.792,0.358,4.98E-194,4,RHAG
CHST12,6.14E-198,0.5863192,0.771,0.408,1.37E-193,4,CHST12
PIP4K2A,2.33E-196,0.471691,0.796,0.413,5.21E-192,4,PIP4K2A
GAD12,4.67E-196,0.7094169,0.9,0.501,1.05E-191,4,GAD1
MLLT11,2.41E-195,0.8171069,0.795,0.414,5.39E-191,4,MLLT11
GAB3,4.76E-195,0.3142962,0.545,0.169,1.07E-190,4,GAB3
ANXA31,6.03E-195,0.455576,0.809,0.372,1.35E-190,4,ANXA3
ANGPT1,7.84E-195,0.4006034,0.709,0.273,1.75E-190,4,ANGPT1
SYTL4,1.77E-194,0.3524637,0.635,0.232,3.96E-190,4,SYTL4
RSU1,5.51E-194,0.5691895,0.893,0.578,1.23E-189,4,RSU1
TAOK1,7.06E-194,0.4842838,0.797,0.432,1.58E-189,4,TAOK1
ADAM10,7.81E-194,0.4642082,0.87,0.515,1.75E-189,4,ADAM10
PDGFB1,1.59E-193,0.2521371,0.446,0.101,3.56E-189,4,PDGFB
NCOA4,2.08E-193,0.6021529,0.921,0.638,4.65E-189,4,NCOA4
C11orf21,2.08E-192,0.3228671,0.587,0.199,4.65E-188,4,C11orf21
TNNI31,3.59E-192,0.7125667,0.531,0.159,8.04E-188,4,TNNI3
MBNL1,6.86E-192,0.4539443,0.822,0.439,1.53E-187,4,MBNL1
CTTN,2.03E-189,0.7089563,0.784,0.405,4.55E-185,4,CTTN
SWI5,3.01E-189,0.4634085,0.862,0.532,6.73E-185,4,SWI5
HDAC5,4.86E-188,0.3833009,0.75,0.351,1.09E-183,4,HDAC5
PFN11,1.09E-185,0.4751486,1,0.987,2.45E-181,4,PFN1
ABI1,1.58E-184,0.4047796,0.772,0.396,3.55E-180,4,ABI1
RBM38,2.95E-184,0.4662945,0.82,0.444,6.60E-180,4,RBM38
MFSD2B,7.28E-184,0.3053528,0.6,0.217,1.63E-179,4,MFSD2B
DAB21,8.81E-184,0.413757,0.873,0.482,1.97E-179,4,DAB2
RAB33A,5.44E-183,0.3706922,0.563,0.193,1.22E-178,4,RAB33A
CARD19,7.98E-182,0.5598104,0.774,0.443,1.78E-177,4,CARD19
IGSF10,1.60E-181,0.277266,0.511,0.146,3.59E-177,4,IGSF10
TAOK3,2.99E-181,0.454812,0.828,0.459,6.70E-177,4,TAOK3
TMEM63A,8.13E-181,0.2704265,0.504,0.153,1.82E-176,4,TMEM63A
TLNRD1,1.34E-180,0.6056077,0.791,0.427,2.99E-176,4,TLNRD1
HBD1,5.62E-180,1.4458213,0.959,0.716,1.26E-175,4,HBD
WRB,1.12E-179,0.526171,0.784,0.446,2.51E-175,4,WRB
PARVB,1.12E-178,0.5596583,0.826,0.499,2.51E-174,4,PARVB
RALB1,2.19E-178,0.4305339,0.824,0.441,4.90E-174,4,RALB
WIPF1,5.39E-178,0.4013288,0.726,0.343,1.21E-173,4,WIPF1
FHL21,1.05E-177,0.392855,0.612,0.231,2.34E-173,4,FHL2
LINC01094,2.14E-176,0.2707561,0.384,0.086,4.79E-172,4,LINC01094
NFKBIA,3.78E-176,0.5949675,0.789,0.423,8.46E-172,4,NFKBIA
PPIF1,1.95E-174,0.5382798,0.84,0.525,4.36E-170,4,PPIF
TTC7B,6.54E-174,0.3136225,0.578,0.211,1.46E-169,4,TTC7B
GMFG1,6.87E-173,0.5568718,0.975,0.645,1.54E-168,4,GMFG
GNAS1,3.91E-172,0.4468377,0.994,0.887,8.75E-168,4,GNAS
HACD4,2.20E-171,0.3936861,0.662,0.284,4.91E-167,4,HACD4
LMNA,7.71E-171,0.4852687,0.896,0.518,1.73E-166,4,LMNA
ZMYND81,1.33E-170,0.4774716,0.921,0.627,2.97E-166,4,ZMYND8
SENCR,2.85E-170,0.3662,0.639,0.259,6.38E-166,4,SENCR
PAPPA,7.09E-170,0.3473114,0.48,0.138,1.59E-165,4,PAPPA
UQCRH1,5.48E-169,0.36223,1,0.951,1.23E-164,4,UQCRH
GNG111,6.42E-167,0.7682658,0.987,0.837,1.44E-162,4,GNG11
CARMIL1,6.44E-167,0.3221271,0.608,0.227,1.44E-162,4,CARMIL1
STK4,1.11E-166,0.423121,0.808,0.482,2.49E-162,4,STK4
SH3PXD2A,2.91E-166,0.3313986,0.565,0.204,6.52E-162,4,SH3PXD2A
AC020571.1,5.28E-166,0.2887381,0.4,0.1,1.18E-161,4,AC020571.1
RAB32,1.39E-165,0.5285961,0.931,0.607,3.11E-161,4,RAB32
AC090409.11,1.97E-165,0.3047989,0.482,0.145,4.40E-161,4,AC090409.1
HMGN11,8.80E-165,0.5747347,0.996,0.936,1.97E-160,4,HMGN1
IFI27L2,5.54E-164,0.3809298,0.821,0.437,1.24E-159,4,IFI27L2
RIPOR2,5.77E-164,0.2904591,0.375,0.089,1.29E-159,4,RIPOR2
HEXIM2,1.22E-163,0.2834715,0.567,0.203,2.72E-159,4,HEXIM2
HIST1H2BD,1.87E-160,0.2866201,0.517,0.169,4.19E-156,4,HIST1H2BD
PLEKHO1,3.21E-160,0.6457584,0.724,0.397,7.19E-156,4,PLEKHO1
CTSZ,4.23E-160,0.7420582,0.766,0.454,9.46E-156,4,CTSZ
SRC,2.18E-159,0.3097969,0.522,0.179,4.89E-155,4,SRC
ASAP1,6.81E-159,0.4348033,0.811,0.479,1.52E-154,4,ASAP1
SOX11,1.39E-158,0.5367311,0.562,0.205,3.10E-154,4,SOX11
SLC44A11,4.21E-158,0.4480597,0.83,0.483,9.42E-154,4,SLC44A1
MAP3K5,7.46E-158,0.2558478,0.47,0.144,1.67E-153,4,MAP3K5
LOXL3,3.77E-157,0.2983714,0.427,0.124,8.43E-153,4,LOXL3
KCNK6,5.11E-157,0.415895,0.507,0.172,1.14E-152,4,KCNK6
CAPN1,8.63E-157,0.3830221,0.829,0.507,1.93E-152,4,CAPN1
SRSF8,1.74E-156,0.4209823,0.836,0.529,3.89E-152,4,SRSF8
PRKCA,8.09E-156,0.2760847,0.545,0.197,1.81E-151,4,PRKCA
PPP1R15A,1.33E-155,0.4474752,0.863,0.526,2.97E-151,4,PPP1R15A
RDH11,1.34E-155,0.4379561,0.786,0.472,2.99E-151,4,RDH11
SORT1,1.84E-155,0.2907007,0.563,0.216,4.12E-151,4,SORT1
DOK1,1.89E-155,0.4612704,0.68,0.335,4.23E-151,4,DOK1
CYTOR1,2.52E-155,0.4638875,0.985,0.775,5.65E-151,4,CYTOR
UBE2F,3.99E-153,0.45814,0.856,0.61,8.93E-149,4,UBE2F
IQGAP2,4.61E-153,0.6013651,0.894,0.58,1.03E-148,4,IQGAP2
ROCK2,5.26E-153,0.4354455,0.739,0.413,1.18E-148,4,ROCK2
WBP2,1.86E-152,0.3857901,0.826,0.524,4.16E-148,4,WBP2
ARPC51,2.52E-152,0.5026576,0.962,0.776,5.63E-148,4,ARPC5
EMD,4.59E-152,0.4104018,0.862,0.582,1.03E-147,4,EMD
SELENOT,1.28E-151,0.4148762,0.916,0.664,2.86E-147,4,SELENOT
CCDC28B1,8.70E-151,0.4001386,0.871,0.566,1.95E-146,4,CCDC28B
INPP5A,9.94E-151,0.2523609,0.477,0.159,2.22E-146,4,INPP5A
NENF1,4.62E-150,0.756921,0.925,0.694,1.03E-145,4,NENF
RENBP,1.13E-149,0.3517102,0.605,0.245,2.54E-145,4,RENBP
GNB5,1.18E-149,0.299236,0.415,0.12,2.64E-145,4,GNB5
KLHDC31,4.38E-148,0.4456634,0.919,0.69,9.80E-144,4,KLHDC3
MFSD1,7.39E-148,0.3498006,0.651,0.299,1.65E-143,4,MFSD1
RAB8A1,4.51E-147,0.4001071,0.912,0.63,1.01E-142,4,RAB8A
RHOC1,1.18E-146,0.4573116,0.976,0.775,2.64E-142,4,RHOC
LINC01089,3.64E-146,0.3493932,0.654,0.319,8.14E-142,4,LINC01089
CLIC11,6.19E-146,0.4996191,0.998,0.917,1.38E-141,4,CLIC1
AGPAT1,9.61E-146,0.3662525,0.805,0.503,2.15E-141,4,AGPAT1
RNF24,1.90E-145,0.3634239,0.703,0.368,4.26E-141,4,RNF24
LYVE1,6.07E-145,0.2766829,0.186,0.021,1.36E-140,4,LYVE1
PIP4P2,2.14E-144,0.2875667,0.592,0.251,4.78E-140,4,PIP4P2
SMIM12,2.98E-144,0.4313981,0.921,0.586,6.68E-140,4,SMIM1
UCP22,3.36E-144,0.4816437,0.861,0.52,7.52E-140,4,UCP2
FKBP1B,1.84E-143,0.3827398,0.681,0.347,4.12E-139,4,FKBP1B
RBPMS21,2.18E-143,0.4494507,0.721,0.383,4.88E-139,4,RBPMS2
CLCN3,5.54E-143,0.3441693,0.695,0.352,1.24E-138,4,CLCN3
MICU1,1.13E-141,0.3331804,0.708,0.373,2.52E-137,4,MICU1
MYH9,1.31E-140,0.5504678,0.727,0.408,2.92E-136,4,MYH9
CGRRF1,7.06E-139,0.2936619,0.613,0.277,1.58E-134,4,CGRRF1
IRS2,9.81E-139,0.2980813,0.44,0.143,2.20E-134,4,IRS2
FBXW9,9.88E-139,0.3513065,0.497,0.189,2.21E-134,4,FBXW9
MAVS,9.88E-138,0.3453283,0.749,0.434,2.21E-133,4,MAVS
PHKB,2.27E-137,0.3522757,0.739,0.422,5.08E-133,4,PHKB
ARPC4,2.71E-137,0.3938975,0.953,0.731,6.08E-133,4,ARPC4
NXF3,3.06E-137,0.4472819,0.438,0.141,6.84E-133,4,NXF3
MT.CO1,6.71E-137,0.3718884,0.999,0.989,1.50E-132,4,MT.CO1
NDUFAF3,1.80E-136,0.4020471,0.945,0.743,4.03E-132,4,NDUFAF3
GCLM,2.82E-136,0.2854368,0.582,0.248,6.31E-132,4,GCLM
CUX1,2.71E-135,0.3307853,0.735,0.411,6.07E-131,4,CUX1
ATP6V1A,6.37E-135,0.3190284,0.78,0.455,1.43E-130,4,ATP6V1A
SERPINB11,2.72E-134,0.433653,0.921,0.606,6.09E-130,4,SERPINB1
ARPC1B,6.14E-134,0.4902742,0.97,0.764,1.37E-129,4,ARPC1B
G6PD,9.59E-134,0.3480902,0.755,0.445,2.15E-129,4,G6PD
PPP3R1,2.75E-131,0.3106419,0.679,0.352,6.15E-127,4,PPP3R1
C9orf16,2.99E-131,0.3986839,0.971,0.82,6.69E-127,4,C9orf16
PDLIM7,3.91E-131,0.4748495,0.917,0.702,8.75E-127,4,PDLIM7
ITGB5,8.94E-131,0.2550013,0.487,0.172,2.00E-126,4,ITGB5
PDCD10,1.59E-130,0.3645569,0.903,0.659,3.55E-126,4,PDCD10
ETFA,6.02E-130,0.4311734,0.938,0.713,1.35E-125,4,ETFA
TOP1,8.52E-130,0.3996143,0.967,0.8,1.91E-125,4,TOP1
BIN2,2.83E-129,0.407887,0.36,0.103,6.33E-125,4,BIN2
CELF2,3.00E-129,0.3667253,0.838,0.476,6.70E-125,4,CELF2
COMMD7,3.19E-129,0.3647337,0.858,0.565,7.13E-125,4,COMMD7
TADA3,1.07E-128,0.3362693,0.865,0.602,2.39E-124,4,TADA3
GFOD1,2.68E-128,0.3518682,0.625,0.291,6.00E-124,4,GFOD1
SCAMP2,3.64E-127,0.3133829,0.76,0.462,8.15E-123,4,SCAMP2
NID1,5.92E-127,0.2698481,0.588,0.248,1.33E-122,4,NID1
NDUFA4,1.78E-125,0.3045202,0.993,0.954,3.99E-121,4,NDUFA4
UBL4A,2.44E-125,0.3317401,0.71,0.397,5.47E-121,4,UBL4A
NCK2,1.14E-124,0.3156269,0.572,0.27,2.55E-120,4,NCK2
RANBP9,1.16E-124,0.2796128,0.645,0.334,2.59E-120,4,RANBP9
TRIM56,7.38E-124,0.3555448,0.779,0.461,1.65E-119,4,TRIM56
NPL,1.30E-123,0.2587763,0.552,0.234,2.91E-119,4,NPL
WIPI1,1.76E-123,0.2973062,0.645,0.317,3.94E-119,4,WIPI1
SH3BGRL,2.10E-123,0.3931754,0.92,0.71,4.70E-119,4,SH3BGRL
ANKRD9,8.17E-123,0.3652872,0.683,0.359,1.83E-118,4,ANKRD9
TPM1,1.09E-122,0.3205123,0.965,0.767,2.45E-118,4,TPM1
VWA5A,1.50E-122,0.2545103,0.484,0.18,3.35E-118,4,VWA5A
HRASLS,2.47E-122,0.26058,0.489,0.192,5.54E-118,4,HRASLS
FXYD51,4.81E-122,0.4365177,0.955,0.713,1.08E-117,4,FXYD5
MKRN1,5.35E-122,0.332027,0.817,0.527,1.20E-117,4,MKRN1
BRK1,1.20E-121,0.3119345,0.992,0.883,2.68E-117,4,BRK1
COTL1,6.13E-121,0.5725619,0.94,0.688,1.37E-116,4,COTL1
CDC42SE11,1.70E-120,0.3505122,0.794,0.49,3.80E-116,4,CDC42SE1
HSF11,4.16E-120,0.3831096,0.867,0.611,9.30E-116,4,HSF1
SKAP2,8.33E-120,0.2618379,0.62,0.305,1.86E-115,4,SKAP2
EMP31,9.49E-120,0.4720435,0.973,0.727,2.12E-115,4,EMP3
MTHFD2L,9.90E-120,0.3437444,0.794,0.499,2.22E-115,4,MTHFD2L
ZEB2,1.60E-119,0.3426167,0.889,0.611,3.58E-115,4,ZEB2
MSN,4.09E-119,0.3693491,0.933,0.689,9.15E-115,4,MSN
FADS21,1.82E-118,0.3942394,0.882,0.614,4.07E-114,4,FADS2
APBB1IP,2.60E-118,0.328611,0.457,0.17,5.83E-114,4,APBB1IP
TLK1,2.64E-118,0.3824678,0.74,0.46,5.91E-114,4,TLK1
CD55,4.91E-118,0.3374066,0.594,0.287,1.10E-113,4,CD55
TGFB1I1,3.67E-117,0.3425001,0.555,0.243,8.21E-113,4,TGFB1I1
AC004687.1,7.34E-117,0.3364668,0.686,0.346,1.64E-112,4,AC004687.1
WDR1,1.05E-116,0.378754,0.919,0.72,2.36E-112,4,WDR1
GOLGA2,4.31E-116,0.2981849,0.613,0.309,9.66E-112,4,GOLGA2
GTF2B,1.64E-115,0.3151011,0.663,0.362,3.66E-111,4,GTF2B
SLC39A31,1.77E-115,0.3902598,0.877,0.612,3.96E-111,4,SLC39A3
SNAP29,3.80E-115,0.2954651,0.852,0.591,8.51E-111,4,SNAP29
DNAJB6,4.00E-115,0.3833487,0.906,0.687,8.95E-111,4,DNAJB6
FNBP1L,1.32E-114,0.2541378,0.655,0.339,2.96E-110,4,FNBP1L
DAD11,2.98E-114,0.4217806,0.984,0.843,6.68E-110,4,DAD1
GAS2L11,1.05E-113,0.2808991,0.66,0.337,2.35E-109,4,GAS2L1
COX171,1.72E-113,0.3469013,0.946,0.745,3.84E-109,4,COX17
INSIG1,1.91E-113,0.4110926,0.685,0.385,4.26E-109,4,INSIG1
FAM110A,4.21E-113,0.3031843,0.515,0.223,9.42E-109,4,FAM110A
ACTR3,5.09E-113,0.3445866,0.923,0.724,1.14E-108,4,ACTR3
MTPN,6.62E-113,0.320642,0.92,0.689,1.48E-108,4,MTPN
HIGD1A,1.17E-112,0.3578042,0.857,0.621,2.62E-108,4,HIGD1A
CITED2,4.94E-111,0.455993,0.97,0.79,1.11E-106,4,CITED2
SIAH2,3.36E-110,0.3115874,0.682,0.391,7.51E-106,4,SIAH2
PTPN6,1.99E-109,0.3069706,0.592,0.289,4.46E-105,4,PTPN6
MIR4435.2HG1,4.33E-109,0.2752301,0.927,0.672,9.70E-105,4,MIR4435.2HG
SLC50A1,9.64E-109,0.3170008,0.784,0.516,2.16E-104,4,SLC50A1
YWHAG,1.07E-108,0.3253715,0.865,0.633,2.40E-104,4,YWHAG
RTN2,2.20E-108,0.2739034,0.578,0.278,4.93E-104,4,RTN2
SLA2,1.03E-106,0.2505307,0.389,0.131,2.32E-102,4,SLA2
KIAA0232,1.34E-106,0.252159,0.583,0.29,2.99E-102,4,KIAA0232
TAF10,1.36E-106,0.3295973,0.87,0.64,3.05E-102,4,TAF10
PLP2,1.90E-106,0.3952596,0.634,0.323,4.26E-102,4,PLP2
UBE2J1,1.21E-105,0.3504027,0.768,0.516,2.70E-101,4,UBE2J1
GSTO11,1.82E-105,0.4123212,0.976,0.793,4.07E-101,4,GSTO1
YOD1,2.33E-105,0.2507128,0.596,0.292,5.22E-101,4,YOD1
CMAS1,8.26E-105,0.3062987,0.865,0.603,1.85E-100,4,CMAS
ROGDI,9.99E-105,0.3201704,0.736,0.472,2.23E-100,4,ROGDI
ATP6V0A1,1.59E-104,0.2739036,0.605,0.317,3.55E-100,4,ATP6V0A1
TRAM2,1.84E-104,0.259259,0.445,0.179,4.12E-100,4,TRAM2
CALD11,1.04E-103,0.5038004,0.936,0.703,2.33E-99,4,CALD1
PTTG1IP1,1.13E-103,0.3165848,0.903,0.654,2.53E-99,4,PTTG1IP
MMD1,1.95E-103,0.3967864,0.648,0.361,4.37E-99,4,MMD
TMEM219,4.59E-103,0.3037901,0.955,0.757,1.03E-98,4,TMEM219
RIPOR3,6.11E-103,0.2692559,0.515,0.229,1.37E-98,4,RIPOR3
ARF3,9.39E-103,0.2784865,0.852,0.589,2.10E-98,4,ARF3
CCPG1,1.05E-102,0.2721938,0.518,0.234,2.36E-98,4,CCPG1
SAV1,4.37E-102,0.357089,0.556,0.289,9.77E-98,4,SAV1
TRIM13,1.00E-100,0.2593527,0.619,0.332,2.25E-96,4,TRIM13
ACTB1,3.31E-100,0.3934003,1,0.995,7.40E-96,4,ACTB
THOC2,3.71E-100,0.2581171,0.837,0.576,8.30E-96,4,THOC2
CCL5,5.99E-100,0.2705229,0.148,0.02,1.34E-95,4,CCL5
TALDO11,6.58E-100,0.3976119,0.982,0.846,1.47E-95,4,TALDO1
LINC00520,8.32E-100,0.2607635,0.314,0.089,1.86E-95,4,LINC00520
SMAGP,1.19E-99,0.3417515,0.558,0.275,2.67E-95,4,SMAGP
UBXN6,1.56E-99,0.29166,0.65,0.379,3.49E-95,4,UBXN6
PPP1R14A,3.61E-99,0.5869201,0.565,0.288,8.08E-95,4,PPP1R14A
PPM1A,1.27E-98,0.2705711,0.574,0.298,2.85E-94,4,PPM1A
SNRPN,1.43E-98,0.3167929,0.963,0.781,3.19E-94,4,SNRPN
LASP1,6.58E-98,0.3170323,0.724,0.464,1.47E-93,4,LASP1
BNIP2,7.86E-98,0.2566384,0.747,0.471,1.76E-93,4,BNIP2
RNPEPL1,1.06E-97,0.2582613,0.625,0.344,2.36E-93,4,RNPEPL1
TXNIP,1.12E-97,0.4501264,0.872,0.611,2.50E-93,4,TXNIP
SPTLC2,1.71E-97,0.279221,0.655,0.384,3.84E-93,4,SPTLC2
DRAP1,1.05E-96,0.3180239,0.966,0.791,2.35E-92,4,DRAP1
GABRE,1.04E-95,0.2756157,0.452,0.185,2.32E-91,4,GABRE
STK17A,2.24E-95,0.2595184,0.539,0.263,5.01E-91,4,STK17A
CCM2,3.12E-95,0.2904204,0.755,0.49,6.97E-91,4,CCM2
CERS2,7.98E-95,0.2941473,0.757,0.508,1.79E-90,4,CERS2
6-Sep,1.95E-94,0.2750197,0.651,0.334,4.37E-90,4,6-Sep
SFT2D1,4.31E-94,0.3180737,0.837,0.617,9.65E-90,4,SFT2D1
VPS25,1.06E-93,0.3065078,0.881,0.659,2.38E-89,4,VPS25
HPCAL1,1.28E-93,0.2587711,0.496,0.233,2.86E-89,4,HPCAL1
FOXN2,2.79E-93,0.3101035,0.55,0.284,6.25E-89,4,FOXN2
TACC11,5.10E-93,0.2686485,0.757,0.474,1.14E-88,4,TACC1
FAM78A,9.61E-93,0.2638681,0.585,0.311,2.15E-88,4,FAM78A
AC093673.1,1.26E-92,0.2531128,0.447,0.192,2.82E-88,4,AC093673.1
LEPROT,1.28E-92,0.284244,0.869,0.629,2.87E-88,4,LEPROT
EMC3,1.80E-92,0.3412439,0.729,0.475,4.03E-88,4,EMC3
STXBP5,6.28E-92,0.253167,0.556,0.268,1.41E-87,4,STXBP5
LAMTOR3,6.86E-92,0.2705151,0.749,0.491,1.53E-87,4,LAMTOR3
AKIRIN2,8.13E-92,0.2857544,0.659,0.389,1.82E-87,4,AKIRIN2
TRIM24,3.44E-91,0.2973983,0.784,0.535,7.70E-87,4,TRIM24
